City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-02 05:00:00,46.42,91.5,0.18,9.31,8.17,15.38,0.18,9.33,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 07:00:00,46.42,91.5,0.9,13.15,14.4,15.38,0.9,7.42,26.24,0.0,0.63,0.0,116.0,Moderate
Ahmedabad,2015-01-02 09:00:00,46.42,91.5,1.32,14.06,15.35,15.38,1.32,13.35,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 10:00:00,46.42,91.5,1.65,14.15,16.28,15.38,1.65,19.15,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 11:00:00,46.42,91.5,1.58,12.28,14.23,15.38,1.58,27.8,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 14:00:00,46.42,91.5,1.17,12.78,13.35,15.38,1.17,14.74,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 15:00:00,46.42,91.5,0.58,12.69,12.48,15.38,0.58,14.94,47.62,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 17:00:00,46.42,91.5,1.5,18.0,19.9,15.38,1.5,20.52,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 18:00:00,46.42,91.5,0.7,19.72,21.33,15.38,0.7,118.9,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-02 20:00:00,46.42,91.5,7.96,15.0,20.79,15.38,0.8,19.0,26.24,0.86,2.59,0.79,116.0,Moderate
Ahmedabad,2015-01-03 00:00:00,46.42,91.5,7.96,18.38,15.88,15.38,0.8,47.45,56.17,3.73,5.93,0.63,116.0,Moderate
Ahmedabad,2015-01-03 01:00:00,46.42,91.5,7.96,15.47,10.37,15.38,0.8,28.78,18.79,2.45,3.58,0.0,116.0,Moderate
Ahmedabad,2015-01-03 02:00:00,46.42,91.5,7.96,10.48,9.1,15.38,0.8,24.32,18.83,2.43,2.87,0.0,116.0,Moderate
Ahmedabad,2015-01-03 03:00:00,46.42,91.5,7.96,15.01,9.65,15.38,0.8,29.06,16.79,2.33,2.98,0.0,116.0,Moderate
Ahmedabad,2015-01-03 06:00:00,46.42,91.5,0.02,11.33,9.73,15.38,0.02,17.28,16.17,2.48,1.88,0.0,116.0,Moderate
Ahmedabad,2015-01-03 07:00:00,46.42,91.5,1.18,14.03,15.25,15.38,1.18,19.36,11.04,3.88,2.82,0.0,116.0,Moderate
Ahmedabad,2015-01-03 08:00:00,46.42,91.5,3.48,16.28,20.33,15.38,3.48,17.25,8.42,6.7,4.98,0.0,116.0,Moderate
Ahmedabad,2015-01-03 09:00:00,46.42,91.5,3.47,15.15,18.88,15.38,3.47,25.97,10.46,7.77,7.32,0.0,116.0,Moderate
Ahmedabad,2015-01-03 10:00:00,46.42,91.5,4.77,17.47,23.13,15.38,4.77,57.34,14.58,6.65,9.02,1.02,116.0,Moderate
Ahmedabad,2015-01-03 11:00:00,46.42,91.5,1.43,13.55,15.32,15.38,1.43,50.65,22.12,5.05,9.72,0.82,116.0,Moderate
Ahmedabad,2015-01-03 12:00:00,46.42,91.5,0.63,12.45,12.68,15.38,0.63,25.07,33.75,3.52,7.32,1.58,116.0,Moderate
Ahmedabad,2015-01-03 13:00:00,46.42,91.5,0.03,13.32,12.03,15.38,0.03,22.41,42.21,3.27,8.47,1.18,116.0,Moderate
Ahmedabad,2015-01-03 15:00:00,46.42,91.5,7.96,10.91,8.83,15.38,0.8,24.82,69.71,2.23,4.75,0.0,116.0,Moderate
Ahmedabad,2015-01-03 16:00:00,46.42,91.5,0.1,14.29,12.98,15.38,0.1,27.98,71.46,2.83,8.52,1.27,116.0,Moderate
Ahmedabad,2015-01-03 18:00:00,46.42,91.5,7.96,15.7,15.23,15.38,0.8,20.72,63.83,2.25,6.3,0.4,116.0,Moderate
Ahmedabad,2015-01-03 20:00:00,46.42,91.5,5.5,39.19,48.77,15.38,5.5,20.53,17.67,7.9,21.42,3.22,116.0,Moderate
Ahmedabad,2015-01-03 21:00:00,46.42,91.5,42.32,40.96,87.72,15.38,42.32,35.32,16.88,17.18,38.27,5.83,116.0,Moderate
Ahmedabad,2015-01-03 22:00:00,46.42,91.5,120.98,48.06,173.43,15.38,120.98,37.95,17.38,35.27,109.38,17.3,116.0,Moderate
Ahmedabad,2015-01-03 23:00:00,46.42,91.5,77.03,41.03,121.37,15.38,77.03,27.84,14.96,32.18,105.43,18.02,116.0,Moderate
Ahmedabad,2015-01-04 00:00:00,46.42,91.5,22.08,35.33,59.5,15.38,22.08,15.15,12.29,17.53,69.85,11.42,116.0,Moderate
Ahmedabad,2015-01-04 01:00:00,46.42,91.5,0.52,27.63,22.85,15.38,0.52,21.43,14.62,8.53,28.28,4.3,116.0,Moderate
Ahmedabad,2015-01-04 02:00:00,46.42,91.5,7.96,20.11,12.05,15.38,0.8,21.62,26.0,3.22,6.22,0.28,116.0,Moderate
Ahmedabad,2015-01-04 03:00:00,46.42,91.5,7.96,18.16,9.5,15.38,0.8,21.86,26.46,2.6,3.45,0.0,116.0,Moderate
